cca3,Year,Death Numbers,population,Death Rate
SYR,1990,64259,1.2446168E7,0.5162954573648693
SYR,1991,65041,1.28154E7,0.5075221998533015
SYR,1992,66652,1.3187669E7,0.5054115325460473
SYR,1993,64873,1.3565074E7,0.47823550391247405
SYR,1994,64820,1.3950486E7,0.46464331063448255
SYR,1995,64952,1.4345491E7,0.452769445116936
SYR,1996,64218,1.4754148E7,0.43525386894587204
SYR,1997,64004,1.5175308E7,0.4217640920368799
SYR,1998,64847,1.5599588E7,0.41569687609698414
SYR,1999,63532,1.6013992E7,0.396728061310384
SYR,2000,61683,1.6410847E7,0.3758672541398991
SYR,2001,59407,1.6766555E7,0.3543184631547745
SYR,2002,59567,1.7084628E7,0.34865845484022245
SYR,2003,56445,1.7415214E7,0.32411315761035153
SYR,2004,56930,1.7827827E7,0.31933224391284476
SYR,2005,57847,1.8361178E7,0.3150505920698552
SYR,2006,60407,1.9059257E7,0.31694310014288596
SYR,2007,61599,1.9878257E7,0.3098812939182746
SYR,2008,64778,2.0664037E7,0.3134818235178344
SYR,2009,65322,2.1205873E7,0.30803730645750826
SYR,2010,67394,2.1362541E7,0.31547745186305315
SYR,2011,82191,2.1081814E7,0.3898668302452531
SYR,2012,130291,2.0438861E7,0.6374670291069546
SYR,2013,121230,1.9578466E7,0.6192007075528798
SYR,2014,148728,1.8710711E7,0.7948816055146168
SYR,2015,134206,1.7997411E7,0.7456961448510566
SYR,2016,127636,1.7465567E7,0.7307864668808061
SYR,2017,106234,1.7095669E7,0.621408849223742
SYR,2018,85012,1.6945062E7,0.5016918793215392
SYR,2019,82895,1.7070132E7,0.4856142881613335
