region,Year,Death Numbers
Oceania,1990,179501
Oceania,1991,180911
Oceania,1992,184090
Oceania,1993,186152
Oceania,1994,189622
Oceania,1995,191652
Oceania,1996,194566
Oceania,1997,195913
Oceania,1998,199058
Oceania,1999,199358
Oceania,2000,201661
Oceania,2001,204353
Oceania,2002,208182
Oceania,2003,210084
Oceania,2004,212002
Oceania,2005,214162
Oceania,2006,218074
Oceania,2007,223418
Oceania,2008,227391
Oceania,2009,229528
Oceania,2010,231441
Oceania,2011,235778
Oceania,2012,238063
Oceania,2013,240990
Oceania,2014,246798
Oceania,2015,252251
Oceania,2016,255943
Oceania,2017,261951
Oceania,2018,271080
Oceania,2019,277829
